时间,UID,用户名,注册时间,用户等级,牌子,用户直播间等级,SC内容,金额,删除
2022/5/21 21:24,5684517,Elrond1011,,,顶碗人(22),10,拉姐今晚神中神,30,
2022/5/21 21:25,289225411,今天去未来,,,别急(2),22,呃，奶宝？,30,
2022/5/21 21:25,96255801,-云月阁主-,,,贝极星(10),7,贝掌门娶我,30,
2022/5/21 21:25,7173021,小精豆晚大林,,,顶碗人(24),20,绷不住了,250,
2022/5/21 21:26,388648751,在下是妙蛙种子啦,,,贝极星(23),12,枝江麻药师向晚,30,
2022/5/21 21:27,388135,AKSN_,,,奶淇琳(25),21,哪个小天才想的台本，出来挨夸,50,
2022/5/21 21:28,12187020,我一直都是顶碗人啊,,,顶碗人(27),21,哈哈哈有周星驰那味了,30,
2022/5/21 21:28,8236427,苏苏苏777,,,顶碗人(1),20,头皮发麻，编剧喝大了写的吧,50,
2022/5/21 21:28,516227724,就看看Zaire,,,顶碗人(4),5,晚子怎么这么像果宝特攻里的陆小果啊，笑死,30,
2022/5/21 21:28,30570,肉丸丸粑粑,,,奶淇琳(24),19,小剧场有意思,50,
2022/5/21 21:28,4599697,雪色幻想,,,顶碗人(23),16,蚌埠住了，但是四人请继续加油！！！！！！新航路已经开启！！！！！,30,
2022/5/21 21:28,6540755,一只然比,,,嘉心糖(21),14,赢,30,
2022/5/21 21:28,2071726,乃王木木的甜蜜筹码,,,顶碗人(24),19,嗨起来！！！！！！！,30,
2022/5/21 21:29,279874804,xiaoxXxX0,,,顶碗人(21),8,爱你们,50,
2022/5/21 21:29,15383491,猫丘皮蛋,,,坏心眼(27),23,笑到我卡痰 哈哈哈哈哈哈哈哈哈哈哈,30,
2022/5/21 21:29,20758121,氧气枪,,,明白人(1),6,今晚这b活是真拉满了,30,
2022/5/21 21:29,3315451,暴打凶凶,,,音乐珈(24),18,段誉 木婉清 秦红棉 刀白凤齐活了，段正淳呢？,50,
